study,name,Run,BioSample,sample,Type,depth,"O2 (umol kg-1)","Redox (mV)"
SVH+19,"Black Sea",SRR7062453,SAMN08324481,BS_50,Oxic,50,121.09,136
SVH+19,"Black Sea",SRR7062452,SAMN08324482,BS_70,Oxic,70,2.17,127
SVH+19,"Black Sea",SRR7062451,SAMN08324483,BS_80,Suboxic,80,0,126
SVH+19,"Black Sea",SRR7062450,SAMN08324484,BS_85,Suboxic,85,0,128
SVH+19,"Black Sea",SRR7062457,SAMN08324485,BS_90,Suboxic,90,0,122
SVH+19,"Black Sea",SRR7062456,SAMN08324486,BS_95,Suboxic,95,0,128
SVH+19,"Black Sea",SRR7062455,SAMN08324487,BS_100,Suboxic,100,0,122
SVH+19,"Black Sea",SRR7062454,SAMN08324488,BS_105,Suboxic,105,0,124
SVH+19,"Black Sea",SRR7062459,SAMN08324489,BS_110,Suboxic,110,0,-33
SVH+19,"Black Sea",SRR7062458,SAMN08324490,BS_130,Euxinic,130,0,-146
SVH+19,"Black Sea",SRR7062446,SAMN08324491,BS_170,Euxinic,170,0,-227
SVH+19,"Black Sea",SRR7062445,SAMN08324492,BS_250,Euxinic,250,0,-293
SVH+19,"Black Sea",SRR7062448,SAMN08324493,BS_500,Euxinic,500,0,-316
SVH+19,"Black Sea",SRR7062447,SAMN08324494,BS_1000,Euxinic,1000,0,-295
SVH+19,"Black Sea",SRR7062449,SAMN08324495,BS_2000,Euxinic,2000,0,-313
