Name,Run,LibraryName,BioSample,SampleName
UC,SRR13120547,46,SAMN16828209,HC01
UC,SRR13120546,48,SAMN16828210,HC02
UC,SRR13120535,50,SAMN16828211,HC03
UC,SRR13120534,52,SAMN16828212,HC04
UC,SRR13120533,54,SAMN16828213,HC05
UC,SRR13120532,56,SAMN16828214,HC06
UC,SRR13120531,58,SAMN16828215,HC07
UC,SRR13120530,60,SAMN16828216,HC08
UC,SRR13120529,62,SAMN16828217,HC09
UC,SRR13120528,64,SAMN16828218,HC10
UC,SRR13120545,1,SAMN16828219,UC01
UC,SRR13120544,5,SAMN16828220,UC02
UC,SRR13120543,11,SAMN16828221,UC03
UC,SRR13120542,13,SAMN16828222,UC04
UC,SRR13120541,FMT1,SAMN16828223,UC05
UC,SRR13120540,FMT11,SAMN16828224,UC06
UC,SRR13120539,FMT18,SAMN16828225,UC07
UC,SRR13120538,FMT22,SAMN16828226,UC08
UC,SRR13120537,FMT32,SAMN16828227,UC09
UC,SRR13120536,"FMT 64",SAMN16828228,UC10
