Name,Run,BioSample,SampleName,Status
"COVID-19 Gut",SRR13067693,SAMN16810303,s093.Control,Control
"COVID-19 Gut",SRR13067692,SAMN16810304,s094.COVID,COVID
"COVID-19 Gut",SRR13067681,SAMN16810305,s095.COVID,COVID
"COVID-19 Gut",SRR13067670,SAMN16810306,s096.Control,Control
"COVID-19 Gut",SRR13067634,SAMN16810307,s097.COVID,COVID
"COVID-19 Gut",SRR13067623,SAMN16810308,s098.Control,Control
"COVID-19 Gut",SRR13067612,SAMN16810309,s099.COVID,COVID
"COVID-19 Gut",SRR13067601,SAMN16810310,s100.COVID,COVID
"COVID-19 Gut",SRR13067649,SAMN16810311,s101.Control,Control
"COVID-19 Gut",SRR13067638,SAMN16810312,s102.Control,Control
"COVID-19 Gut",SRR13067691,SAMN16810313,s103.COVID,COVID
"COVID-19 Gut",SRR13067690,SAMN16810314,s104.COVIDrecovered,COVIDrecovered
"COVID-19 Gut",SRR13067689,SAMN16810315,s105.COVID,COVID
"COVID-19 Gut",SRR13067688,SAMN16810316,s106.Control,Control
"COVID-19 Gut",SRR13067687,SAMN16810317,s107.COVID,COVID
"COVID-19 Gut",SRR13067686,SAMN16810318,s108.COVID,COVID
"COVID-19 Gut",SRR13067685,SAMN16810319,s109.COVID,COVID
"COVID-19 Gut",SRR13067684,SAMN16810320,s110.COVID,COVID
"COVID-19 Gut",SRR13067683,SAMN16810321,s111.COVID,COVID
"COVID-19 Gut",SRR13067682,SAMN16810322,s112.COVID,COVID
"COVID-19 Gut",SRR13067680,SAMN16810323,s113.Control,Control
"COVID-19 Gut",SRR13067679,SAMN16810324,s114.Control,Control
"COVID-19 Gut",SRR13067678,SAMN16810325,s115.COVID,COVID
"COVID-19 Gut",SRR13067677,SAMN16810326,s116.Control,Control
"COVID-19 Gut",SRR13067676,SAMN16810327,s117.COVIDrecovered,COVIDrecovered
"COVID-19 Gut",SRR13067675,SAMN16810328,s118.COVID,COVID
"COVID-19 Gut",SRR13067674,SAMN16810329,s119.Control,Control
"COVID-19 Gut",SRR13067673,SAMN16810330,s120.COVIDrecovered,COVIDrecovered
"COVID-19 Gut",SRR13067672,SAMN16810331,s122.COVID,COVID
"COVID-19 Gut",SRR13067671,SAMN16810332,s123.COVID,COVID
"COVID-19 Gut",SRR13067669,SAMN16810333,s124.Control,Control
"COVID-19 Gut",SRR13067668,SAMN16810334,s125.COVID,COVID
"COVID-19 Gut",SRR13067667,SAMN16810335,s126.COVID,COVID
"COVID-19 Gut",SRR13067666,SAMN16810336,s127.Control,Control
"COVID-19 Gut",SRR13067665,SAMN16810337,s128.Control,Control
"COVID-19 Gut",SRR13067664,SAMN16810338,s129.Control,Control
"COVID-19 Gut",SRR13067663,SAMN16810339,s130.Control,Control
"COVID-19 Gut",SRR13067662,SAMN16810340,s131.Control,Control
"COVID-19 Gut",SRR13067661,SAMN16810341,s132.Control,Control
"COVID-19 Gut",SRR13067659,SAMN16810342,s133.COVIDrecovered,COVIDrecovered
"COVID-19 Gut",SRR13067633,SAMN16810343,s134.COVID,COVID
"COVID-19 Gut",SRR13067632,SAMN16810344,s135.COVID,COVID
"COVID-19 Gut",SRR13067631,SAMN16810345,s136.Control,Control
"COVID-19 Gut",SRR13067630,SAMN16810346,s137.COVID,COVID
"COVID-19 Gut",SRR13067629,SAMN16810347,s138.Control,Control
"COVID-19 Gut",SRR13067628,SAMN16810348,s139.Control,Control
"COVID-19 Gut",SRR13067627,SAMN16810349,s140.COVID,COVID
"COVID-19 Gut",SRR13067626,SAMN16810350,s146.COVID,COVID
"COVID-19 Gut",SRR13067625,SAMN16810351,s147.COVIDrecovered,COVIDrecovered
"COVID-19 Gut",SRR13067624,SAMN16810352,s148.COVID,COVID
"COVID-19 Gut",SRR13067622,SAMN16810353,s149.COVID,COVID
"COVID-19 Gut",SRR13067621,SAMN16810354,s151.Control,Control
"COVID-19 Gut",SRR13067620,SAMN16810355,s152.COVIDrecovered,COVIDrecovered
"COVID-19 Gut",SRR13067619,SAMN16810356,s153.COVID,COVID
"COVID-19 Gut",SRR13067618,SAMN16810357,s154.Control,Control
